symbol,date,p/e,eps (ttm),insider own,shs outstand,market cap,forward p/e,eps next y,insider trans,shs float,perf month,income,peg,eps next q,inst own,short float,perf quarter,sales,p/s,eps this y,inst trans,short ratio,perf half y,book/sh,p/b,eps next y.1,roa,target price,perf year,cash/sh,p/c,eps next 5y,roe,52w range,perf ytd,dividend,p/fcf,eps past 5y,roi,52w high,beta,dividend %,quick ratio,sales past 5y,gross margin,52w low,atr,employees,current ratio,sales q/q,oper. margin,rsi (14),volatility,optionable,debt/eq,eps q/q,profit margin,rel volume,prev close,shortable,lt debt/eq,earnings,payout,cap,size,symbol,name,market cap,country,ipo year,sector,industry
rcel,12-18-2020,-,-,2.19%,21.62M,401.76M,-,-1.50,-13.56%,-,-13.30%,-,-,-0.41,20.37%,-,-25.71%,16.07M,25.00,18.40%,-,2.58,-38.07%,-,-,11.20%,-,-,-58.53%,-,-,-,-,16.87 - 55.35,-59.16%,-,-,-,-,-66.43%,-,-,-,-,-,10.14%,0.77,98,-,55.70%,-,39.37,3.33% 3.89%,Yes,-,-,-,1.12,18.94,Yes,-,-,-,small,401760000.0,rcel,Avita Therapeutics Inc. Common Stock,412572316.0,Australia,,Health Care,Medical/Dental Instruments
rcg,12-18-2020,-,-0.20,23.61%,5.95M,10.18M,-,-,6.08%,-,9.60%,-,-,-,3.98%,-,31.01%,0.10M,103.75,-,-,0.60,28.55%,1.69,1.01,-,-,-,5.54%,-,-,-,-,0.90 - 1.75,4.25%,-,-,-,-,-2.30%,-,-,-,-,-,89.97%,0.08,-,-,-25.80%,-,61.43,4.84% 4.87%,No,-,-,-,1.04,1.7,Yes,-,-,-,small,10180000.0,rcg,RENN Fund Inc Common Stock,9823703.0,United States,,,
rchg,12-18-2020,-,-,-,20.00M,203.80M,-,-,-,-,3.87%,-,-,-,-,-,-,-,-,-,-,0.02,-,-,-,-,-,-,-,-,-,-,-,9.72 - 10.44,4.51%,-,-,-,-,-2.39%,-,-,-,-,-,4.84%,0.16,-,-,-,-,-,1.68% 1.28%,No,-,-,-,0.57,10.18,Yes,-,-,-,small,203800000.0,rchg,Recharge Acquisition Corp. Class A Common Stock,262392500.0,United States,2020.0,Finance,Business Services
rci,12-18-2020,18.84,2.47,0.80%,505.00M,23.35B,11.79,3.95,0.00%,352.06M,0.45%,1.25B,2.70,0.95,79.00%,0.31%,17.06%,11.05B,2.11,-0.20%,-0.25%,2.61,14.81%,15.47,3.01,18.15%,4.20%,54.02,-6.26%,3.49,13.34,6.99%,16.30%,32.20 - 51.29,-6.20%,1.57,26.94,9.00%,9.70%,-9.16%,0.50,3.37%,1.00,3.20%,40.90%,44.69%,0.69,25300,1.10,-2.40%,21.40%,52.94,1.00% 1.40%,Yes,2.15,-12.50%,11.40%,0.49,46.72,Yes,1.88,Oct 22 BMO,100.90%,large,23350000000.0,rci,Rogers Communication Inc. Common Stock,23680997414.0,Canada,,Consumer Services,Television Services
rcii,12-18-2020,11.12,3.44,0.30%,53.99M,2.09B,10.17,3.76,-25.70%,53.49M,10.63%,192.30M,2.22,0.93,99.30%,3.70%,26.49%,2.77B,0.75,53.60%,-2.16%,3.67,43.52%,10.05,3.81,9.51%,12.00%,44.50,34.49%,4.17,9.17,5.00%,39.20%,11.69 - 41.42,32.77%,1.24,10.20,11.30%,29.50%,-7.56%,1.66,3.24%,-,-3.30%,59.90%,227.54%,1.36,14000,-,9.60%,9.10%,63.09,2.68% 3.49%,Yes,0.35,106.40%,7.00%,0.6,38.38,Yes,0.35,Oct 28 AMC,31.60%,large,2090000000.0,rcii,Rent-A-Center Inc. Common Stock,2073911995.0,United States,1995.0,Technology,Diversified Commercial Services
rckt,12-18-2020,-,-1.82,4.61%,55.19M,3.40B,-,-2.13,8.81%,37.55M,72.18%,-98.60M,-,-0.52,92.60%,24.59%,131.98%,-,-,16.70%,1.90%,14.18,143.19%,4.38,12.52,-9.80%,-27.50%,62.11,135.26%,3.69,14.85,10.80%,-35.80%,9.01 - 63.99,140.95%,-,-,14.60%,-,-14.30%,1.96,-,7.30,-,-,508.66%,4.27,84,7.30,-,-,62.30,5.97% 9.14%,Yes,0.28,-37.60%,-,0.91,56.05,Yes,0.25,Nov 05 BMO,-,large,3400000000.0,rckt,Rocket Pharmaceuticals Inc. Common Stock,3399796528.0,United States,2015.0,Health Care,Major Pharmaceuticals
rcky,12-18-2020,12.67,2.22,2.80%,7.31M,204.91M,10.80,2.60,3.33%,6.70M,-4.59%,16.30M,1.27,0.82,75.80%,2.97%,12.19%,265.00M,0.77,25.20%,-3.35%,5.93,41.13%,23.46,1.20,10.64%,7.70%,28.00,-2.53%,2.73,10.30,10.00%,9.80%,14.96 - 32.74,-4.62%,0.56,12.12,12.50%,10.50%,-14.26%,0.64,2.00%,2.00,-1.10%,36.50%,87.63%,0.93,1929,4.20,15.80%,7.90%,40.06,2.48% 3.22%,No,0.00,37.70%,6.20%,0.84,27.82,Yes,0.00,Oct 27 AMC,25.10%,small,204910000.0,rcky,Rocky Brands Inc. Common Stock,203222614.0,United States,1993.0,Consumer Non-Durables,Shoe Manufacturing
rcl,12-18-2020,-,-19.72,8.60%,214.16M,16.94B,-,-13.57,-17.02%,187.81M,-4.60%,-4157.40M,-,-5.20,61.50%,8.33%,13.94%,4.69B,3.61,4.50%,2.46%,2.33,50.86%,38.89,1.92,25.80%,-12.90%,68.31,-44.53%,13.30,5.61,-,-41.90%,19.25 - 135.32,-44.06%,-,-,21.20%,9.10%,-44.80%,2.90,-,0.70,6.30%,17.80%,288.00%,3.44,85300,0.80,-,-,51.93,4.38% 4.59%,Yes,2.27,-249.60%,-88.60%,0.93,73.75,Yes,2.12,Oct 29 BMO,-,large,16940000000.000004,rcl,D/B/A Royal Caribbean Cruises Ltd. Common Stock,16361066535.0,United States,1993.0,Consumer Services,Marine Transportation
rcm,12-18-2020,276.09,0.09,7.24%,115.98M,2.80B,38.37,0.63,-0.84%,110.24M,15.59%,13.50M,11.04,0.06,84.90%,3.87%,36.94%,1.26B,2.22,86.90%,10.06%,5.27,97.86%,0.54,44.48,545.36%,1.30%,23.29,89.28%,0.91,26.30,25.00%,34.10%,7.12 - 24.19,85.05%,-,45.90,37.70%,10.80%,-0.70%,0.89,-,1.60,41.40%,18.80%,237.36%,0.56,19000,1.60,2.00%,6.60%,82.48,2.07% 2.73%,Yes,8.93,-128.60%,1.10%,0.99,24.09,Yes,8.47,Nov 03 BMO,0.00%,large,2800000000.0,rcm,R1 RCM Inc. Common Stock,2796398255.0,United States,,Consumer Services,Other Consumer Services
rcmt,12-18-2020,-,-0.48,21.00%,11.45M,24.05M,9.63,0.22,0.00%,8.45M,25.45%,-6.20M,-,-0.01,49.90%,0.09%,56.82%,157.80M,0.15,13.20%,-3.32%,0.02,35.29%,2.06,1.00,136.80%,-7.90%,2.75,-29.59%,0.07,30.07,15.00%,-23.30%,1.02 - 3.17,-31.00%,-,1.08,-10.20%,8.60%,-34.70%,1.81,-,1.80,-0.30%,25.90%,102.94%,0.21,3410,1.80,-21.60%,-4.40%,60.88,24.94% 9.95%,Yes,0.58,-182.90%,-3.90%,0.5,2.05,Yes,0.57,-,-,small,24050000.0,rcmt,RCM Technologies Inc. Common Stock,24159653.0,United States,,Technology,Professional Services
rcon,12-18-2020,-,-0.63,53.60%,4.80M,10.22M,147.00,0.01,0.00%,4.25M,17.60%,-2.90M,-,-,1.50%,14.46%,65.36%,10.10M,1.01,35.80%,-65.85%,0.49,27.83%,3.51,0.42,105.60%,-11.40%,-,-36.91%,0.66,2.22,-,-19.40%,0.75 - 5.55,-36.09%,-,-,33.60%,-14.80%,-73.51%,2.73,-,2.00,5.00%,29.80%,96.00%,0.17,134,2.00,137.60%,-30.60%,59.53,12.45% 13.74%,No,0.26,50.20%,-29.30%,1.92,1.27,Yes,0.07,-,-,small,10220000.0,rcon,Recon Technology Ltd. Ordinary Shares,9270765.0,China,2009.0,Energy,Oilfield Services/Equipment
rcs,12-18-2020,-,-0.46,-,43.84M,303.79M,-,-,-,-,0.43%,-,-,-,15.43%,-,7.61%,39.57M,7.68,-,-,0.39,5.16%,5.94,1.17,-,-,-,-24.26%,-,-,-,-,4.77 - 9.27,-23.76%,0.61,-,-,-,-25.24%,-,8.80%,-,-,-,45.17%,0.11,-,-,7.40%,-,58.55,0.82% 1.44%,No,-,-,-,1.36,6.9,Yes,-,-,-,small,303790000.0,rcs,PIMCO Strategic Income Fund Inc.,304037120.0,United States,1994.0,,
rcus,12-18-2020,-,-1.90,13.30%,62.60M,1.73B,-,-2.50,0.53%,44.20M,-3.78%,-87.60M,-,-0.65,61.00%,14.28%,51.19%,77.80M,22.19,-34.90%,6.82%,12.96,7.94%,8.70,2.98,-36.60%,-21.00%,37.78,163.29%,11.76,2.21,-,-27.40%,8.55 - 37.41,157.03%,-,11.52,-,-54.20%,-30.61%,-,-,4.90,-,-,203.63%,1.75,139,4.90,3587.40%,-,40.04,7.13% 6.34%,Yes,0.00,105.50%,-,1.12,27.15,Yes,0.00,Nov 05 AMC,-,large,1730000000.0,rcus,Arcus Biosciences Inc. Common Stock,1775652364.0,,2018.0,Health Care,Major Pharmaceuticals
rdcm,12-18-2020,-,-0.33,40.60%,13.95M,157.79M,-,-0.12,0.00%,10.91M,16.00%,-4.60M,-,-0.04,33.90%,0.13%,18.73%,36.30M,4.35,-179.80%,-1.61%,0.83,28.82%,5.16,2.12,33.30%,-5.00%,-,28.52%,4.50,2.43,15.00%,-6.40%,5.23 - 11.24,28.52%,-,-,-51.10%,-10.80%,-2.58%,1.05,-,7.30,6.90%,71.70%,109.55%,0.49,282,7.30,4.30%,-14.70%,60.28,2.91% 5.09%,No,0.00,73.70%,-12.70%,0.55,10.4,Yes,0.00,Nov 10 BMO,-,small,157790000.0,rdcm,Radcom Ltd. Ordinary Shares,145016811.0,Israel,1997.0,Technology,Computer peripheral equipment
rdfn,12-18-2020,-,-0.47,2.10%,99.84M,7.05B,-,-0.06,-17.19%,96.96M,37.89%,-43.20M,-,0.04,89.20%,7.61%,29.83%,874.80M,8.06,-80.10%,-3.33%,4.17,63.60%,4.01,17.11,82.90%,-14.30%,51.13,217.36%,4.88,14.07,5.00%,-27.90%,9.63 - 83.71,224.65%,-,-,11.00%,-,-18.01%,1.92,-,2.30,44.10%,21.90%,612.67%,3.66,3377,2.40,-0.80%,-9.60%,57.09,5.52% 5.73%,Yes,0.45,325.90%,-10.90%,0.79,70.87,Yes,0.00,Nov 05 AMC,-,large,7050000000.0,rdfn,Redfin Corporation Common Stock,7283823263.0,United States,2017.0,Finance,Real Estate
rdhl,12-18-2020,-,-1.78,14.78%,37.29M,318.76M,-,-0.59,0.00%,2.00M,-5.94%,-63.50M,-,-0.24,22.10%,97.81%,-20.71%,44.50M,7.16,15.10%,8.31%,7.17,19.00%,0.77,10.49,58.50%,-46.00%,-,33.33%,0.88,9.16,-,-152.20%,3.26 - 11.35,33.11%,-,-,-2.90%,-67.70%,-28.81%,1.75,-,1.60,-2.20%,41.00%,147.69%,0.61,155,1.80,1394.90%,-,41.45,9.81% 6.12%,Yes,2.99,-44.20%,-,3.09,8.56,Yes,2.94,Nov 12 BMO,-,small,318760000.0,rdhl,Redhill Biopharma Ltd. American Depositary Shares,327568724.0,Israel,,Health Care,Major Pharmaceuticals
rdi,12-18-2020,-,-3.45,8.50%,21.75M,142.22M,-,-0.68,-0.86%,16.22M,42.21%,-75.40M,-,-0.68,45.90%,2.51%,53.99%,131.50M,1.08,-331.00%,-1.99%,4.34,13.83%,3.97,1.26,75.40%,-11.10%,5.00,-54.53%,0.98,5.12,-,-69.10%,2.21 - 11.38,-55.14%,-,-,-25.30%,-5.80%,-55.89%,1.97,-,0.40,1.60%,-0.50%,126.64%,0.26,2988,0.40,-85.50%,-34.20%,68.87,4.72% 5.85%,Yes,3.15,-,-57.40%,1.03,5.16,Yes,2.67,-,-,small,142220000.0,rdi,Reading International Inc Class A Common Stock,111355889.0,United States,,Consumer Services,Movies/Entertainment
rdn,12-18-2020,10.09,2.01,0.51%,193.18M,3.91B,7.69,2.64,0.00%,190.59M,5.69%,406.80M,-,0.59,97.80%,7.04%,35.54%,1.46B,2.68,15.30%,1.64%,7.62,34.73%,21.34,0.95,63.56%,5.60%,24.32,-18.81%,0.42,47.66,-1.87%,10.20%,9.53 - 25.89,-19.52%,0.50,6.61,-9.90%,14.40%,-21.78%,1.57,2.47%,-,7.30%,-,112.49%,0.57,2000,-,-1.30%,39.00%,56.88,2.57% 2.77%,Yes,0.37,-16.30%,27.90%,0.52,19.89,Yes,0.37,Nov 04 AMC,18.70%,large,3910000000.0,rdn,Radian Group Inc. Common Stock,3852202582.0,United States,,Finance,Property-Casualty Insurers
rdnt,12-18-2020,-,-0.21,1.20%,51.36M,994.35M,41.03,0.48,-21.80%,43.84M,4.26%,-10.40M,-,0.15,70.90%,1.84%,27.66%,1.06B,0.93,-55.70%,0.36%,4.01,23.63%,3.06,6.40,318.20%,-0.60%,23.67,-3.02%,1.77,11.09,15.00%,-7.20%,5.81 - 23.45,-3.60%,-,5.46,55.90%,7.50%,-16.55%,1.52,-,0.70,10.00%,19.60%,236.83%,0.74,6165,0.70,-0.30%,3.60%,60.17,3.13% 4.04%,Yes,4.27,86.80%,-1.00%,0.85,19.25,Yes,4.00,Nov 09 BMO,-,small,994350000.0,rdnt,RadNet Inc. Common Stock,995543989.0,United States,,Health Care,Medical Specialities
rdus,12-18-2020,-,-2.43,16.00%,46.49M,847.64M,-,-1.79,7.41%,46.46M,18.51%,-112.50M,-,-0.57,-,15.22%,54.63%,231.50M,3.66,40.80%,-0.94%,16.38,26.04%,-2.34,-,26.90%,-56.90%,20.25,-8.32%,2.65,6.74,29.60%,134.60%,10.15 - 21.27,-11.41%,-,-,6.50%,-73.20%,-16.03%,1.17,-,2.20,-,92.60%,75.94%,0.88,383,2.20,66.20%,-37.80%,58.96,4.27% 5.84%,Yes,-,79.20%,-48.60%,1.12,18.45,Yes,-,Nov 05 BMO,-,small,847640000.0,rdus,Radius Health Inc. Common Stock,856471921.0,United States,2014.0,Health Care,Major Pharmaceuticals
rdvt,12-18-2020,-,-0.84,12.30%,12.07M,319.85M,-,-,0.00%,5.72M,2.03%,-9.80M,-,-,25.70%,17.90%,42.06%,34.70M,9.22,-53.80%,2.67%,24.59,46.85%,3.58,7.29,-,-19.40%,-,41.06%,1.01,25.79,-,-22.70%,13.49 - 28.89,41.06%,-,54.21,-,-26.60%,-9.62%,-,-,3.40,-,65.40%,93.54%,1.25,107,3.40,12.00%,-28.00%,52.04,3.39% 4.89%,No,0.05,15.70%,-28.20%,0.71,26.34,Yes,0.03,Nov 10 AMC,-,small,319850000.0,rdvt,Red Violet Inc. Common Stock ,314928907.0,United States,,Technology,Computer Software: Prepackaged Software
rdwr,12-18-2020,94.07,0.30,28.50%,46.34M,1.29B,35.13,0.79,0.00%,38.29M,8.87%,14.20M,7.65,0.22,74.20%,2.62%,14.43%,248.30M,5.20,78.40%,2.15%,5.29,17.63%,8.28,3.35,19.70%,2.30%,27.80,8.14%,6.25,4.44,12.30%,3.70%,16.02 - 27.89,7.64%,-,31.43,-2.70%,3.50%,-0.50%,0.96,-,2.30,2.60%,81.90%,73.21%,0.53,358,2.40,-0.60%,3.20%,75.13,1.52% 2.09%,Yes,0.00,-48.80%,5.70%,0.36,27.56,Yes,0.00,Nov 04 BMO,0.00%,large,1290000000.0,rdwr,Radware Ltd. Ordinary Shares,1278867731.0,Israel,1999.0,Miscellaneous,Business Services
rdy,12-18-2020,46.84,1.52,27.70%,165.80M,11.88B,34.39,2.07,0.00%,121.87M,8.28%,253.00M,3.69,0.52,13.70%,0.64%,2.18%,2.44B,4.86,3.80%,-1.46%,4.82,34.81%,13.23,5.39,17.78%,8.00%,68.31,76.16%,2.25,31.64,12.70%,12.10%,33.33 - 73.50,75.68%,0.33,34.18,-2.00%,9.90%,-3.01%,0.39,0.46%,1.20,3.30%,54.80%,113.89%,1.1,21650,1.70,14.90%,9.00%,66.29,1.07% 1.13%,Yes,0.20,-12.70%,10.40%,0.28,70.74,Yes,0.04,Oct 28 BMO,-,large,11880000000.0,rdy,Dr. Reddy's Laboratories Ltd Common Stock,11763377896.0,India,,Health Care,Major Pharmaceuticals
re,12-18-2020,14.84,15.77,0.40%,39.48M,9.37B,9.70,24.14,-2.29%,39.25M,1.47%,628.90M,2.12,4.38,99.30%,1.75%,18.87%,9.06B,1.03,-39.80%,0.50%,2.51,16.49%,242.92,0.96,87.95%,1.60%,259.89,-15.84%,23.45,9.98,7.00%,5.00%,157.32 - 294.31,-15.44%,6.20,3.83,-1.00%,10.70%,-20.46%,0.59,2.65%,-,7.20%,-,48.80%,4.75,1603,-,27.30%,5.00%,55.90,1.66% 1.85%,Yes,0.00,137.50%,5.10%,0.43,230.36,Yes,0.07,Oct 29 AMC,53.10%,large,9370000000.0,re,Everest Re Group Ltd. Common Stock,9201496723.0,Bermuda,,Finance,Property-Casualty Insurers
real,12-18-2020,-,-1.68,5.30%,87.87M,1.73B,-,-1.28,-23.12%,83.77M,36.74%,-145.90M,-,-0.39,97.49%,12.22%,31.05%,311.00M,5.57,-13.90%,3.61%,5.91,38.98%,2.67,7.32,21.50%,-26.00%,18.32,9.35%,4.46,4.38,38.60%,-50.80%,5.00 - 22.03,3.66%,-,-,-,-29.10%,-11.30%,-,-,3.50,-,63.40%,290.80%,1.17,2353,3.60,-4.20%,-47.20%,61.38,5.16% 6.81%,Yes,0.00,-65.00%,-46.90%,1.05,20.33,Yes,0.63,Nov 09 AMC,-,large,1730000000.0,real,The RealReal Inc. Common Stock,1821151488.0,United States,2019.0,Consumer Services,Other Specialty Stores
redu,12-18-2020,-,-0.23,1.27%,56.48M,340.61M,12.13,0.50,0.00%,20.26M,-8.70%,-12.60M,-,0.14,71.40%,0.77%,-0.49%,154.50M,2.20,3.30%,-0.11%,3.63,62.40%,1.30,4.68,363.20%,-3.10%,8.00,-9.37%,-,-,24.57%,-16.20%,3.00 - 10.20,-12.88%,-,-,32.90%,13.70%,-40.29%,-,-,0.60,30.30%,37.60%,102.99%,0.29,4014,0.60,-22.20%,-12.40%,44.34,6.34% 4.39%,Yes,0.90,-28.80%,-8.20%,0.26,6.18,Yes,0.41,Nov 12 AMC,-,small,340610000.0,redu,RISE Education Cayman Ltd American Depositary Shares,345598127.0,China,2017.0,Consumer Services,Other Consumer Services
reed,12-18-2020,-,-0.21,8.70%,62.94M,45.25M,-,-0.11,1.45%,59.30M,-14.35%,-10.70M,-,-0.04,19.00%,1.06%,-35.80%,38.10M,1.19,-12.90%,-4.58%,0.88,-38.37%,0.01,59.10,37.50%,-64.90%,-,-34.33%,0.01,50.27,20.00%,-,0.36 - 1.64,-35.05%,-,-,-51.20%,-,-63.96%,1.28,-,0.40,-4.90%,25.80%,63.62%,0.05,28,1.00,21.80%,-24.50%,39.23,8.34% 7.43%,Yes,20.40,69.60%,-28.20%,1.9,0.61,Yes,0.60,Nov 09 AMC,-,small,45250000.0,reed,Reeds Inc. Common Stock,52063245.0,United States,,Consumer Non-Durables,Beverages (Production/Distribution)
refr,12-18-2020,-,-0.09,0.90%,31.58M,89.39M,-,-,-67.49%,25.20M,-7.26%,-2.70M,-,-,17.00%,6.11%,1.08%,1.10M,81.26,-22.60%,0.95%,7.01,-27.20%,0.19,14.79,-,-36.00%,-,-8.17%,0.17,16.55,30.00%,-42.30%,1.66 - 5.70,-6.64%,-,-,7.40%,-45.10%,-50.70%,1.19,-,21.10,-0.40%,-,69.28%,0.22,8,21.10,-60.00%,-,50.50,5.47% 8.33%,Yes,0.00,-7.40%,-,0.92,2.82,Yes,0.00,Nov 05 AMC,-,small,89390000.0,refr,Research Frontiers Incorporated Common Stock,87468085.0,United States,,Miscellaneous,Multi-Sector Companies
reg,12-18-2020,165.18,0.28,0.50%,169.67M,7.69B,40.20,1.13,-12.31%,167.84M,-2.06%,46.70M,18.15,0.23,97.40%,2.07%,15.71%,1.05B,7.35,-2.60%,-2.80%,3.03,-0.31%,35.60,1.28,138.24%,0.40%,50.07,-26.09%,1.64,27.81,9.10%,0.80%,31.80 - 64.65,-27.74%,2.38,68.75,-4.50%,3.00%,-29.48%,1.03,5.22%,-,16.10%,70.20%,43.36%,1.35,450,-,-14.00%,10.30%,48.40,2.50% 2.73%,Yes,0.66,-78.00%,4.50%,0.76,45.59,Yes,0.66,Nov 05 AMC,856.70%,large,7690000000.0,reg,Regency Centers Corporation Common Stock,7803589271.0,United States,1993.0,Consumer Services,Real Estate Investment Trusts
regi,12-18-2020,6.26,11.32,1.30%,39.31M,2.96B,14.14,5.01,0.00%,38.08M,21.04%,596.30M,-,0.65,-,10.45%,31.32%,2.61B,1.13,32.90%,0.35%,3.40,198.32%,30.13,2.35,65.53%,10.70%,73.75,153.93%,6.74,10.50,-,15.20%,16.05 - 80.99,162.78%,-,4.91,35.10%,30.50%,-12.56%,1.18,-,2.30,15.70%,28.90%,341.25%,4.77,731,2.90,-1.40%,7.10%,55.15,7.17% 7.21%,Yes,0.06,271.00%,6.80%,0.51,72.93,Yes,0.01,Nov 05 AMC,0.00%,large,2960000000.0,regi,Renewable Energy Group Inc. Common Stock,2855555399.0,United States,2012.0,Basic Industries,Major Chemicals
regn,12-18-2020,17.66,27.36,0.50%,105.50M,51.90B,13.14,36.76,-34.96%,101.99M,-6.02%,3.16B,1.58,8.50,89.30%,1.92%,-14.97%,8.24B,6.30,-10.80%,-0.62%,1.94,-22.39%,95.98,5.03,20.75%,20.70%,669.96,29.40%,28.17,17.15,11.14%,29.80%,328.13 - 664.64,28.66%,-,32.80,44.00%,16.10%,-27.31%,0.31,-,3.40,22.80%,88.00%,47.23%,11.65,8100,3.90,31.60%,37.40%,39.06,2.16% 2.28%,Yes,0.00,26.10%,38.30%,0.88,478.3,Yes,0.27,Nov 05 BMO,0.00%,large,51900000000.0,regn,Regeneron Pharmaceuticals Inc. Common Stock,51294768167.0,United States,1991.0,Health Care,Major Pharmaceuticals
rei,12-18-2020,-,-1.30,0.40%,67.98M,54.70M,9.29,0.07,193.26%,62.72M,4.75%,-88.10M,-,0.04,24.60%,17.49%,-2.86%,133.90M,0.41,198.70%,-35.30%,5.91,-45.91%,6.37,0.10,-74.09%,-9.60%,1.00,-75.10%,0.22,3.06,37.00%,-18.00%,0.43 - 3.31,-75.00%,-,0.27,6.30%,5.20%,-80.06%,2.64,-,1.60,38.70%,68.10%,53.43%,0.06,58,1.60,-37.40%,-91.40%,45.06,8.64% 9.36%,Yes,0.83,-122.10%,-65.80%,1.28,0.67,Yes,0.83,-,-,small,54700000.0,rei,Ring Energy Inc. Common Stock,54530124.0,United States,,Energy,Oil & Gas Production
rekr,12-18-2020,-,-0.66,0.70%,26.91M,266.39M,-,-0.11,-5.24%,23.39M,74.30%,-15.60M,-,-0.08,18.60%,3.56%,40.59%,10.80M,24.67,-76.30%,85.22%,1.66,97.79%,1.05,7.69,81.40%,-54.40%,7.50,131.56%,0.73,11.01,-,-,2.35 - 9.35,111.26%,-,-,-,-77.40%,-13.69%,1.72,-,4.50,10.90%,55.80%,243.38%,0.69,472,4.70,-58.00%,-98.10%,68.19,10.32% 10.81%,Yes,0.07,-37.50%,-,0.59,7.7,Yes,0.05,-,-,small,266390000.0,rekr,Rekor Systems Inc. Common Stock,260991244.0,United States,,Capital Goods,Telecommunications Equipment
rell,12-18-2020,-,-0.24,2.60%,13.17M,63.44M,-,-,0.00%,10.16M,4.20%,-3.10M,-,-,61.70%,0.04%,12.72%,154.10M,0.41,75.10%,-2.51%,0.18,15.53%,9.04,0.52,-,-2.10%,-,-17.98%,3.16,1.49,20.00%,-2.60%,3.10 - 6.32,-16.34%,0.24,-,18.90%,-1.90%,-25.47%,0.64,5.10%,2.30,2.60%,31.90%,51.94%,0.17,394,4.40,-4.70%,-1.60%,56.94,2.96% 3.70%,Yes,0.00,-825.90%,-2.00%,0.33,4.73,Yes,0.00,Oct 07 AMC,-,small,63440000.0,rell,Richardson Electronics Ltd. Common Stock,62075974.0,United States,1983.0,Technology,Electronic Components
relx,12-18-2020,27.90,0.88,4.50%,1.93B,46.46B,19.39,1.27,0.00%,1.92B,4.05%,1.72B,3.93,-,4.00%,0.13%,10.63%,10.10B,4.60,8.80%,-0.51%,3.56,5.52%,1.46,16.89,11.19%,9.00%,-,-2.26%,0.14,176.60,7.10%,58.00%,16.81 - 27.25,-2.41%,0.58,35.50,12.50%,21.20%,-9.52%,0.70,2.35%,0.40,6.40%,64.70%,46.70%,0.3,33000,0.50,-4.20%,24.00%,62.46,0.84% 0.94%,No,3.77,-16.60%,17.00%,0.34,24.76,Yes,3.18,-,49.70%,large,46460000000.0,relx,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share),47916244598.0,United Kingdom,2015.0,Consumer Services,Publishing
renn,12-18-2020,-,-2.19,49.00%,23.31M,123.84M,-,-,0.00%,2.95M,-19.96%,-51.10M,-,-,12.80%,3.48%,17.79%,349.80M,0.35,66.50%,-3.82%,0.42,28.24%,4.47,1.07,-,-13.90%,-,57.59%,0.23,20.99,-,-34.80%,0.45 - 8.20,91.58%,-,-,-20.80%,-142.60%,-41.82%,1.82,-,0.50,49.60%,0.80%,960.09%,0.67,820,0.70,199.50%,-55.10%,39.66,8.95% 9.28%,Yes,0.30,44.60%,-14.60%,0.28,5.14,Yes,0.00,-,-,small,123840000.0,renn,Renren Inc. American Depositary Shares each representing fifteen Class A ordinary shares,120728791.0,China,2011.0,Consumer Durables,Automotive Aftermarket
reph,12-18-2020,-,-0.88,2.10%,23.64M,72.76M,-,-0.55,-15.72%,23.23M,19.25%,-20.50M,-,-0.24,75.60%,4.16%,43.94%,74.20M,0.98,105.30%,-5.77%,1.07,-38.04%,-0.64,-,40.00%,-23.40%,-,-83.74%,-,-,-,205.00%,1.49 - 19.21,-84.45%,-,-,15.70%,22.80%,-85.16%,1.24,-,3.20,-,28.50%,91.28%,0.3,215,3.90,-23.70%,-0.90%,53.50,6.91% 12.14%,Yes,-,-146.30%,-34.10%,0.88,2.92,Yes,-,Nov 09 BMO,-,small,72760000.0,reph,Recro Pharma Inc. Common Stock,70803848.0,United States,2014.0,Health Care,Major Pharmaceuticals
repl,12-18-2020,-,-1.77,15.10%,44.02M,1.78B,-,-1.87,-12.41%,41.47M,-27.54%,-69.60M,-,-0.42,77.30%,3.14%,56.48%,-,-,-15.60%,0.75%,1.62,72.16%,5.94,6.42,-7.50%,-24.70%,55.70,160.94%,5.25,7.27,-,-30.20%,8.58 - 54.85,165.85%,-,-,-,-,-30.45%,-,-,19.50,-,-,344.64%,3.06,122,19.50,-,-,37.90,6.30% 7.31%,Yes,0.14,-29.80%,-,0.96,42.34,Yes,0.13,-,-,large,1780000000.0,repl,Replimune Group Inc. Common Stock,1937315750.0,United States,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
res,12-18-2020,-,-1.04,15.90%,215.08M,696.65M,-,-0.17,0.00%,73.87M,-1.87%,-225.00M,-,-0.08,26.70%,15.26%,16.24%,685.70M,1.02,-150.30%,-3.97%,16.18,6.06%,2.96,1.06,46.90%,-25.70%,2.85,-37.87%,0.66,4.78,-,-32.30%,1.72 - 5.35,-39.89%,0.20,9.04,-18.70%,-10.60%,-41.12%,2.15,6.35%,3.70,-12.20%,21.30%,83.13%,0.2,2700,4.60,-60.20%,-46.10%,45.01,4.59% 6.14%,Yes,0.00,76.60%,-32.80%,2.68,3.21,Yes,0.00,Oct 28 BMO,-,small,696650000.0,res,RPC Inc. Common Stock,681764206.0,United States,,Energy,Oilfield Services/Equipment
